p,num,start_time
0.044472329,300,0
0.037809632,30,300
0.048173974,30,330
0.08752466,30,360
0.098619163,30,390
0.147537532,30,420
0.126594749,30,450
0.110830397,30,480
0.054071113,30,510
0.062965044,60,540
0.028711459,60,600
0.013515438,60,660
0.070186449,240,720
0.06898806,480,960
