c_id,lat,lon
1001,32.5349007,-86.6427994
1003,30.6609993,-87.7498016
1005,31.869600300000002,-85.3932037
1007,32.9986,-87.12640379999999
1009,33.980899799999996,-86.56739809999999
1011,32.1006012,-85.7156982
1013,31.7523994,-86.6802979
1015,33.7714005,-85.82599640000001
1017,32.9143982,-85.3919983
1019,34.1759987,-85.6037979
1021,32.84790039999999,-86.71880340000001
1023,32.0195999,-88.2631989
1025,31.6767006,-87.83080290000001
1027,33.2691002,-85.8604965
1029,33.674598700000004,-85.5187988
1031,31.402599300000002,-85.9881973
1033,34.700401299999996,-87.8050003
1035,31.4293003,-86.99369809999999
1037,32.9361992,-86.2477036
1039,31.248500800000002,-86.45120240000001
1041,31.7315006,-86.3134995
1043,34.1319008,-86.8675995
1045,31.4318008,-85.6110001
1047,32.326000199999996,-87.1064987
1049,34.4598007,-85.8041
1051,32.596599600000005,-86.1491013
1053,31.1261005,-87.16159820000001
1055,34.0452995,-86.03479770000001
1057,33.721199,-87.7388992
1059,34.4417,-87.84380340000001
1061,31.0949993,-85.8389969
1063,32.8530998,-87.9522018
1065,32.762699100000006,-87.629097
1067,31.5146999,-85.2414017
1069,31.1532001,-85.3024979
1071,34.7793999,-85.99929809999999
1073,33.5542984,-86.8964996
1075,33.7792015,-88.09690090000001
1077,34.9014015,-87.6539993
1079,34.521701799999995,-87.310997
1081,32.6011009,-85.3555984
1083,34.8101006,-86.9813995
1085,32.1548004,-86.6501007
1087,32.3860016,-85.6927032
1089,34.763099700000005,-86.5502014
1091,32.2476006,-87.7894974
1093,34.1366005,-87.88710019999999
1095,34.3670006,-86.3066025
1097,30.6851006,-88.1975021
1099,31.570800800000004,-87.3654022
1101,32.2202988,-86.2076035
1103,34.4534988,-86.85289759999999
1105,32.638500199999996,-87.2944031
1107,33.280899,-88.0886993
1109,31.8027,-85.9409027
1111,33.293800399999995,-85.4590988
1113,32.288398699999995,-85.18499759999999
1115,33.7156982,-86.3146973
1117,33.26430130000001,-86.6605988
1119,32.5909996,-88.19879909999999
1121,33.3801003,-86.1659012
1123,32.8624001,-85.79750059999999
1125,33.2896004,-87.5250015
1127,33.803298999999996,-87.29740140000001
1129,31.407600399999996,-88.207901
1131,31.9892006,-87.30819699999999
1133,34.1492004,-87.373703
2013,55.224399600000005,-161.94799799999998
2016,52.680198700000005,-92.4877014
2020,61.14810179999999,-149.19400019999998
2050,60.849498700000005,-160.1990051
2060,58.731098200000005,-156.98699950000002
2068,63.673301699999996,-150.0099945
2070,59.7158012,-158.326004
2090,64.8078995,-146.5639954
2100,59.0738983,-135.47300719999998
2105,58.207901,-135.5570068
2110,58.44570160000001,-134.2339935
2122,60.11529920000001,-151.7039948
2130,55.49219889999999,-131.0339966
2150,57.6539001,-153.75
2158,62.1604996,-163.5240021
2164,58.304199200000006,-156.5249939
2170,62.304500600000004,-149.5789948
2180,64.8352966,-164.2460022
2185,69.3640976,-153.51199340000002
2188,67.0081024,-160.0070038
2195,57.112999,-133.0010071
2198,55.72900010000001,-133.2019958
2220,57.1805,-135.30900569999997
2230,59.55849839999999,-135.3379974
2240,63.876899699999996,-143.2070007
2261,61.4164009,-144.7610016
2275,56.291698499999995,-132.128006
2282,59.863201100000005,-140.4290009
2290,65.5087967,-151.3919983
4001,35.3955994,-109.48899840000001
4003,31.879600500000002,-109.7509995
4005,35.838699299999995,-111.7710037
4007,33.799800899999994,-110.8119965
4009,32.9327011,-109.887001
4011,33.2154007,-109.2399979
